Sequence Name	Sequence Description	Annotation GO ID	Annotation GO Term	Annotation GO Category	InterPro Accession	InterPro Name	atg_description
MA_100975g0010	indole-3-acetic acid-amido synthetase	NA	NA	NA	IPR004993|IPR004993|noIPR	GH3 family|GH3 family|GH3 family	AT5G54510-Auxin-responsive GH3 family protein
MA_10204389g0010	C-Myc-binding homolog	GO:0003713|GO:0005667|GO:0045941	transcription coactivator activity|transcription factor complex|positive regulation of transcription, DNA-templated	Molecular Function|Cellular Component|Biological Process	noIPR|IPR026060|noIPR|noIPR|noIPR|noIPR|noIPR	null|Associate of Myc 1|Associate of Myc 1|Associate of Myc 1|Associate of Myc 1|Associate of Myc 1|Associate of Myc 1	AT2G14045-c-Myc-binding protein
MA_10227568g0010	diterpene synthase	GO:0000287|GO:0006952|GO:0009507|GO:0010333|GO:0016102|GO:0050554|GO:0050559|GO:0052678	magnesium ion binding|defense response|chloroplast|terpene synthase activity|diterpenoid biosynthetic process|abietadiene synthase activity|copalyl diphosphate synthase activity|levopimaradiene synthase activity	Molecular Function|Biological Process|Cellular Component|Molecular Function|Biological Process|Molecular Function|Molecular Function|Molecular Function	noIPR|IPR008949|IPR008949	null|Isoprenoid synthase domain superfamily|Isoprenoid synthase domain superfamily	NA
MA_10312144g0010	1,8-cineole synthase	GO:0000287|GO:0009507|GO:0016099|GO:0043693|GO:0050552|GO:0071395	magnesium ion binding|chloroplast|monoterpenoid biosynthetic process|monoterpene biosynthetic process|(4S)-limonene synthase activity|cellular response to jasmonic acid stimulus	Molecular Function|Cellular Component|Biological Process|Biological Process|Molecular Function|Biological Process	IPR008949|IPR008949	Isoprenoid synthase domain superfamily|Isoprenoid synthase domain superfamily	AT1G48820-Terpenoid cyclases/Protein prenyltransferases superfamily protein
MA_10428020g0010	microtubule-associated 70-1-like	GO:0007010|GO:0008017|GO:0045298	cytoskeleton organization|microtubule binding|tubulin complex	Biological Process|Molecular Function|Cellular Component	noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR009768|noIPR|noIPR|IPR009768|IPR009768|noIPR|noIPR	null|null|null|null|null|null|null|null|Microtubule-associated protein 70|Microtubule-associated protein 70|Microtubule-associated protein 70|Microtubule-associated protein 70|Microtubule-associated protein 70|Microtubule-associated protein 70|Microtubule-associated protein 70	NA
MA_10434741g0010	PREDICTED: uncharacterized protein LOC104592350	GO:0005576|GO:0009505|GO:0009506|GO:0010015|GO:0080167	extracellular region|plant-type cell wall|plasmodesma|root morphogenesis|response to karrikin	Cellular Component|Cellular Component|Cellular Component|Biological Process|Biological Process	IPR006946|IPR008979|IPR008979|noIPR|noIPR|noIPR|noIPR	Domain of unknown function DUF642|Galactose-binding-like domain superfamily|Galactose-binding-like domain superfamily|Galactose-binding-like domain superfamily|Galactose-binding-like domain superfamily|Galactose-binding-like domain superfamily|Galactose-binding-like domain superfamily	AT5G25460-transmembrane protein, putative (Protein of unknown function, DUF642)
MA_10434903g0010	hypothetical protein AXG93_1660s1130	NA	NA	NA	noIPR	null	NA
MA_10435131g0020	RNA-dependent RNA polymerase 6	GO:0003968|GO:0006144|GO:0031379	RNA-directed 5'-3' RNA polymerase activity|purine nucleobase metabolic process|RNA-directed RNA polymerase complex	Molecular Function|Biological Process|Cellular Component	noIPR|IPR007855|IPR007855|noIPR	null|RNA-dependent RNA polymerase, eukaryotic-type|RNA-dependent RNA polymerase, eukaryotic-type|RNA-dependent RNA polymerase, eukaryotic-type	AT3G49500-RNA-dependent RNA polymerase 6
MA_10435532g0010	---NA---	NA	NA	NA	NA	NA	NA
MA_10435635g0010	predicted protein	NA	NA	NA	NA	NA	NA
MA_10435947g0020	E3 ubiquitin- ligase MBR1-like isoform X1	GO:0044267	cellular protein metabolic process	Biological Process	noIPR|noIPR|noIPR|noIPR|noIPR|noIPR	null|null|null|null|null|null	AT5G45290-RING/U-box superfamily protein
MA_10436457g0010	DNA polymerase I chloroplastic mitochondrial	GO:0003676|GO:0006139|GO:0008408	nucleic acid binding|nucleobase-containing compound metabolic process|3'-5' exonuclease activity	Molecular Function|Biological Process|Molecular Function	IPR002562|IPR036397|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR012337	3'-5' exonuclease domain|Ribonuclease H superfamily|Ribonuclease H superfamily|Ribonuclease H superfamily|Ribonuclease H superfamily|Ribonuclease H superfamily|Ribonuclease H superfamily|Ribonuclease H superfamily|Ribonuclease H superfamily|Ribonuclease H superfamily|Ribonuclease H superfamily|Ribonuclease H superfamily|Ribonuclease H superfamily|Ribonuclease H-like superfamily	AT1G50840-polymerase gamma 2
MA_10436505g0010	predicted protein	NA	NA	NA	noIPR|noIPR|noIPR|noIPR|noIPR	null|null|null|null|null	NA
MA_10436542g0010	unknown	GO:0003697|GO:0006260	single-stranded DNA binding|DNA replication	Molecular Function|Biological Process	NA	NA	NA
MA_10436829g0010	lactosylceramide 4-alpha-galactosyltransferase-like	GO:0016021	integral component of membrane	Cellular Component	IPR007652|IPR007577|noIPR|noIPR|IPR029044	Alpha 1,4-glycosyltransferase domain|Glycosyltransferase, DXD sugar-binding motif|Glycosyltransferase, DXD sugar-binding motif|Glycosyltransferase, DXD sugar-binding motif|Nucleotide-diphospho-sugar transferases	AT1G61050-alpha 1,4-glycosyltransferase family protein
MA_104546g0010	zinc finger ZIC 5	NA	NA	NA	noIPR|noIPR|noIPR	null|null|null	AT5G13250-RING finger protein
MA_113484g0010	bark storage A	GO:0003824|GO:0009116	catalytic activity|nucleoside metabolic process	Molecular Function|Biological Process	noIPR|IPR000845|noIPR|noIPR|IPR035994	null|Nucleoside phosphorylase domain|Nucleoside phosphorylase domain|Nucleoside phosphorylase domain|Nucleoside phosphorylase superfamily	AT4G28940-Phosphorylase superfamily protein
MA_122225g0010	dirigent 10-like	GO:0016853	isomerase activity	Molecular Function	IPR034871|IPR004265|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR	Allene oxide cyclase/dirigent protein|Dirigent protein|Dirigent protein|Dirigent protein|Dirigent protein|Dirigent protein|Dirigent protein|Dirigent protein|Dirigent protein|Dirigent protein|Dirigent protein	AT3G55230-Disease resistance-responsive (dirigent-like protein) family protein
MA_137265g0010	heptahelical transmembrane 4-like	GO:0016021	integral component of membrane	Cellular Component	noIPR|IPR004254|noIPR	null|AdipoR/Haemolysin-III-related|AdipoR/Haemolysin-III-related	AT4G37680-heptahelical protein 4
MA_140161g0010	F-box LRR-repeat 14	GO:0005515	protein binding	Molecular Function	IPR006553|IPR032675|noIPR|IPR032675|noIPR|noIPR|IPR001810|noIPR	Leucine-rich repeat, cysteine-containing subtype|Leucine-rich repeat domain superfamily|Leucine-rich repeat domain superfamily|Leucine-rich repeat domain superfamily|Leucine-rich repeat domain superfamily|Leucine-rich repeat domain superfamily|F-box domain|F-box domain	AT1G80570-RNI-like superfamily protein
MA_140415g0010	ACT domain-containing ACR4-like	GO:0008152|GO:0016597	metabolic process|amino acid binding	Biological Process|Molecular Function	IPR002912|noIPR|noIPR|noIPR|noIPR|IPR002912|IPR002912|IPR002912|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR	ACT domain|ACT domain|ACT domain|ACT domain|ACT domain|ACT domain|ACT domain|ACT domain|ACT domain|ACT domain|ACT domain|ACT domain|ACT domain|ACT domain|ACT domain	AT1G69040-ACT domain repeat 4
MA_15046g0010	uncharacterized protein LOC18427447 isoform X3	NA	NA	NA	noIPR|noIPR	null|null	AT3G13000-ubiquinone biosynthesis protein (Protein of unknown function, DUF547)
MA_16043g0010	auxin-responsive SAUR71	GO:0009733	response to auxin	Biological Process	IPR003676|noIPR|noIPR	Small auxin-up RNA|Small auxin-up RNA|Small auxin-up RNA	AT5G20810-SAUR-like auxin-responsive protein family
MA_169757g0010	Galactose-binding domain	GO:0005739	mitochondrion	Cellular Component	IPR008979|IPR006946|noIPR|noIPR|IPR008979	Galactose-binding-like domain superfamily|Domain of unknown function DUF642|Domain of unknown function DUF642|Domain of unknown function DUF642|Galactose-binding-like domain superfamily	AT4G32460-choice-of-anchor C domain protein, putative (Protein of unknown function, DUF642)
