Sequence Name	Sequence Description	Annotation GO ID	Annotation GO Term	Annotation GO Category	InterPro Accession	InterPro Name	atg_description
MA_10007908g0010	---NA---	NA	NA	NA	noIPR|noIPR|noIPR	null|null|null	NA
MA_10291874g0010	ADP,ATP carrier ER-ANT1 isoform X1	GO:0003735|GO:0005471|GO:0005576|GO:0005743|GO:0005789|GO:0005840|GO:0006091|GO:0006412|GO:0015866|GO:0015867|GO:0016021|GO:0042254|GO:0048316|GO:0048364|GO:0048367|GO:0055085	structural constituent of ribosome|ATP:ADP antiporter activity|extracellular region|mitochondrial inner membrane|endoplasmic reticulum membrane|ribosome|generation of precursor metabolites and energy|translation|ADP transport|ATP transport|integral component of membrane|ribosome biogenesis|seed development|root development|shoot system development|transmembrane transport	Molecular Function|Molecular Function|Cellular Component|Cellular Component|Cellular Component|Cellular Component|Biological Process|Biological Process|Biological Process|Biological Process|Cellular Component|Biological Process|Biological Process|Biological Process|Biological Process|Biological Process	IPR023395|IPR018108|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR018108|IPR023395|noIPR|noIPR	Mitochondrial carrier domain superfamily|Mitochondrial substrate/solute carrier|Mitochondrial substrate/solute carrier|Mitochondrial substrate/solute carrier|Mitochondrial substrate/solute carrier|Mitochondrial substrate/solute carrier|Mitochondrial substrate/solute carrier|Mitochondrial substrate/solute carrier|Mitochondrial substrate/solute carrier|Mitochondrial substrate/solute carrier|Mitochondrial carrier domain superfamily|Mitochondrial carrier domain superfamily|Mitochondrial carrier domain superfamily	AT5G17400-endoplasmic reticulum-adenine nucleotide transporter 1
MA_104125g0010	---NA---	NA	NA	NA	NA	NA	NA
MA_10429605g0010	---NA---	NA	NA	NA	noIPR|noIPR|noIPR	null|null|null	NA
MA_10431450g0010	sucrose transport SUC4-like	GO:0005887|GO:0007064|GO:0008515|GO:0015770|GO:0031390	integral component of plasma membrane|mitotic sister chromatid cohesion|sucrose transmembrane transporter activity|sucrose transport|Ctf18 RFC-like complex	Cellular Component|Biological Process|Molecular Function|Biological Process|Cellular Component	noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR020846|IPR020846|IPR036259|noIPR|noIPR|noIPR|noIPR	null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|Major facilitator superfamily domain|Major facilitator superfamily domain|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily|MFS transporter superfamily	AT1G09960-sucrose transporter 4
MA_10432509g0010	transcription initiation factor IIB	GO:0006355|GO:0017025|GO:0070897	regulation of transcription, DNA-templated|TBP-class protein binding|DNA-templated transcriptional preinitiation complex assembly	Biological Process|Molecular Function|Biological Process	IPR000812|IPR013763|noIPR|IPR013137|IPR013150|IPR036915|IPR036915|IPR000812|noIPR|IPR023486|IPR013137|IPR013763|IPR013763|IPR036915|noIPR|IPR036915	Transcription factor TFIIB|Cyclin-like|Cyclin-like|Zinc finger, TFIIB-type|Transcription factor TFIIB, cyclin-like domain|Cyclin-like superfamily|Cyclin-like superfamily|Transcription factor TFIIB|Transcription factor TFIIB|Transcription factor TFIIB, conserved site|Zinc finger, TFIIB-type|Cyclin-like|Cyclin-like|Cyclin-like superfamily|Cyclin-like superfamily|Cyclin-like superfamily	AT3G10330-Cyclin-like family protein
MA_10433063g0010	proline transporter 2-like	GO:0003333|GO:0005886|GO:0015171	amino acid transmembrane transport|plasma membrane|amino acid transmembrane transporter activity	Biological Process|Cellular Component|Molecular Function	IPR013057|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR	Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain|Amino acid transporter, transmembrane domain	AT2G39890-proline transporter 1
MA_10435851g0010	hypothetical protein POPTR_0010s23920g	NA	NA	NA	IPR012347|IPR007402|noIPR|noIPR|noIPR|IPR009078	Ferritin-like|Protein of unknown function DUF455|Protein of unknown function DUF455|Protein of unknown function DUF455|Protein of unknown function DUF455|Ferritin-like superfamily	AT5G04520-3-oxoacyl-acyl-carrier synthase-like protein (Protein of unknown function DUF455)
MA_118880g0010	probable phosphoinositide phosphatase SAC9 isoform X1	GO:0016020|GO:0042578	membrane|phosphoric ester hydrolase activity	Cellular Component|Molecular Function	noIPR|noIPR	null|null	AT3G59770-sacI homology domain-containing protein / WW domain-containing protein
MA_13350g0010	26S protease regulatory subunit 6B homolog	GO:0005524|GO:0036402	ATP binding|proteasome-activating ATPase activity	Molecular Function|Molecular Function	noIPR|IPR003959|noIPR|noIPR|IPR035256|IPR003960|noIPR|IPR027417	null|ATPase, AAA-type, core|ATPase, AAA-type, core|ATPase, AAA-type, core|26S Proteasome regulatory subunit 6B|ATPase, AAA-type, conserved site|ATPase, AAA-type, conserved site|P-loop containing nucleoside triphosphate hydrolase	AT5G58290-regulatory particle triple-A ATPase 3
