Sequence Name	Sequence Description	Annotation GO ID	Annotation GO Term	Annotation GO Category	InterPro Accession	InterPro Name	atg_description
MA_10056152g0010	F-box kelch-repeat At1g51550	GO:0005515	protein binding	Molecular Function	noIPR|IPR015915|IPR015915|noIPR|noIPR|noIPR|IPR015915	null|Kelch-type beta propeller|Kelch-type beta propeller|Kelch-type beta propeller|Kelch-type beta propeller|Kelch-type beta propeller|Kelch-type beta propeller	AT1G51550-Kelch repeat-containing F-box family protein
MA_10070848g0010	PREDICTED: uncharacterized protein LOC104599506 isoform X1	NA	NA	NA	noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR	null|null|null|null|null|null|null|null	AT1G28530-deneddylase
MA_10088495g0010	exocyst complex component SEC5A	GO:0000145|GO:0006893	exocyst|Golgi to plasma membrane transport	Cellular Component|Biological Process	noIPR|IPR029175	null|Exocyst complex component EXOC2/Sec5	AT1G21170-Exocyst complex component SEC5
MA_10096236g0010	unknown	NA	NA	NA	NA	NA	NA
MA_10131732g0010	DNA excision repair ERCC-1	GO:0006281	DNA repair	Biological Process	noIPR|noIPR	null|null	NA
MA_10190212g0010	---NA---	NA	NA	NA	noIPR	null	NA
MA_10205894g0010	DNA ligase 4 isoform X2	GO:0003677|GO:0003910|GO:0005524|GO:0006260|GO:0051103	DNA binding|DNA ligase (ATP) activity|ATP binding|DNA replication|DNA ligation involved in DNA repair	Molecular Function|Molecular Function|Molecular Function|Biological Process|Biological Process	IPR036420|IPR001357|noIPR|IPR029710|IPR001357|IPR001357|IPR036420	BRCT domain superfamily|BRCT domain|BRCT domain|DNA ligase 4|BRCT domain|BRCT domain|BRCT domain superfamily	AT5G57160-DNA ligase IV
MA_10223157g0010	zinc carboxypeptidase family	GO:0004181|GO:0006508|GO:0008270	metallocarboxypeptidase activity|proteolysis|zinc ion binding	Molecular Function|Biological Process|Molecular Function	noIPR|IPR000834|noIPR|noIPR|noIPR	null|Peptidase M14, carboxypeptidase A|Peptidase M14, carboxypeptidase A|Peptidase M14, carboxypeptidase A|Peptidase M14, carboxypeptidase A	AT5G42320-Zn-dependent exopeptidases superfamily protein
MA_10257300g0010	unknown	NA	NA	NA	noIPR	null	NA
MA_10270171g0010	spastin isoform X1	GO:0000166|GO:0016787	nucleotide binding|hydrolase activity	Molecular Function|Molecular Function	IPR007330|noIPR|noIPR	MIT|MIT|MIT	AT2G45500-AAA-type ATPase family protein
MA_102706g0010	serine arginine repetitive matrix 2	NA	NA	NA	noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR	null|null|null|null|null|null|null|null|null|null	AT3G43850-hypothetical protein
MA_10277463g0010	3-phosphoinositide-dependent kinase-1	GO:0015919	peroxisomal membrane transport	Biological Process	IPR034571	Protein APEM9	AT3G10572-3-phosphoinositide-dependent protein kinase-1
MA_10311455g0010	pre-rRNA-processing ESF1	GO:0005634	nucleus	Cellular Component	noIPR|noIPR|noIPR|noIPR|IPR017926|IPR029062|noIPR|noIPR|noIPR|IPR017926|noIPR|IPR029062	null|null|null|null|Glutamine amidotransferase|Class I glutamine amidotransferase-like|Class I glutamine amidotransferase-like|Class I glutamine amidotransferase-like|Class I glutamine amidotransferase-like|Glutamine amidotransferase|Glutamine amidotransferase|Class I glutamine amidotransferase-like	AT3G01160-pre-rRNA-processing ESF1-like protein
MA_103731g0010	ubinuclein-1-like isoform X2	NA	NA	NA	NA	NA	NA
MA_10425929g0010	MOR1 isoform X2	GO:0005488	binding	Molecular Function	IPR011989|noIPR|noIPR|IPR016024	Armadillo-like helical|Armadillo-like helical|Armadillo-like helical|Armadillo-type fold	AT2G35630-ARM repeat superfamily protein
MA_10426455g0010	lipase YDR444W isoform X1	GO:0016787	hydrolase activity	Molecular Function	noIPR|noIPR	null|null	AT4G25770-alpha/beta-Hydrolases superfamily protein
MA_10426555g0010	TMV resistance N-like	GO:0005515|GO:0007165	protein binding|signal transduction	Molecular Function|Biological Process	IPR000157|IPR000157|IPR035897|noIPR|noIPR|IPR000157|IPR035897	Toll/interleukin-1 receptor homology (TIR) domain|Toll/interleukin-1 receptor homology (TIR) domain|Toll/interleukin-1 receptor homology (TIR) domain superfamily|Toll/interleukin-1 receptor homology (TIR) domain superfamily|Toll/interleukin-1 receptor homology (TIR) domain superfamily|Toll/interleukin-1 receptor homology (TIR) domain|Toll/interleukin-1 receptor homology (TIR) domain superfamily	AT3G51570-Disease resistance protein (TIR-NBS-LRR class) family
MA_10426713g0010	ARM REPEAT PROTEIN INTERACTING WITH ABF2	GO:0005515	protein binding	Molecular Function	IPR000225|IPR011989|IPR011989|IPR000225|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR000225|IPR000225|IPR000225|IPR016024	Armadillo|Armadillo-like helical|Armadillo-like helical|Armadillo|Armadillo|Armadillo|Armadillo|Armadillo|Armadillo|Armadillo|Armadillo|Armadillo|Armadillo|Armadillo-type fold	AT5G19330-ARM repeat protein interacting with ABF2
MA_10427064g0010	AUGMIN subunit 6-like	GO:0051225|GO:0070652	spindle assembly|HAUS complex	Biological Process|Cellular Component	noIPR|noIPR|IPR026797	null|null|HAUS augmin-like complex subunit 6	AT5G40740-HAUS augmin-like complex subunit
MA_10427106g0020	ALWAYS EARLY 3 isoform X1	NA	NA	NA	noIPR|noIPR	null|null	NA
MA_10427389g0010	AUGMIN subunit 2	GO:0031023|GO:0051225	microtubule organizing center organization|spindle assembly	Biological Process|Biological Process	IPR028346|noIPR	HAUS augmin-like complex subunit 2|HAUS augmin-like complex subunit 2	AT2G32980-HAUS augmin-like complex subunit
MA_10427774g0050	ATP-binding cassette sub-family A member 3	GO:0005215|GO:0005524|GO:0006810|GO:0016021|GO:0016887	transporter activity|ATP binding|transport|integral component of membrane|ATPase activity	Molecular Function|Molecular Function|Biological Process|Cellular Component|Molecular Function	IPR003593|noIPR|IPR003439|noIPR|IPR026082|noIPR|IPR003439|IPR027417	AAA+ ATPase domain|AAA+ ATPase domain|ABC transporter-like|ABC transporter-like|ABC transporter A, ABCA|ABC transporter A, ABCA|ABC transporter-like|P-loop containing nucleoside triphosphate hydrolase	AT3G47730-ATP-binding cassette A2
MA_10428333g0010	hypothetical protein PRUPE_8G192400	GO:0005525	GTP binding	Molecular Function	IPR006073|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR027417|noIPR	GTP binding domain|GTP binding domain|GTP binding domain|GTP binding domain|GTP binding domain|GTP binding domain|GTP binding domain|P-loop containing nucleoside triphosphate hydrolase|P-loop containing nucleoside triphosphate hydrolase	AT3G07400-lipase class 3 family protein
MA_10428379g0010	E3 ubiquitin ligase DRIP2-like	NA	NA	NA	noIPR|noIPR|noIPR|noIPR|noIPR	null|null|null|null|null	AT2G30580-DREB2A-interacting protein 2
MA_10428462g0010	TIC chloroplastic	GO:0006875|GO:0009706|GO:0015088|GO:0015677|GO:0016021|GO:0035434|GO:0042803|GO:0045037	cellular metal ion homeostasis|chloroplast inner membrane|copper uptake transmembrane transporter activity|copper ion import|integral component of membrane|copper ion transmembrane transport|protein homodimerization activity|protein import into chloroplast stroma	Biological Process|Cellular Component|Molecular Function|Biological Process|Cellular Component|Biological Process|Molecular Function|Biological Process	IPR022051|IPR022051|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR	Protein of unknown function DUF3611|Protein of unknown function DUF3611|Protein of unknown function DUF3611|Protein of unknown function DUF3611|Protein of unknown function DUF3611|Protein of unknown function DUF3611|Protein of unknown function DUF3611|Protein of unknown function DUF3611|Protein of unknown function DUF3611|Protein of unknown function DUF3611|Protein of unknown function DUF3611	AT2G15290-translocon at inner membrane of chloroplasts 21
MA_10428475g0010	probable ubiquitin-conjugating enzyme E2 23	NA	NA	NA	noIPR|IPR016135|IPR000608|noIPR|noIPR|noIPR|IPR000608|IPR000608|IPR016135	null|Ubiquitin-conjugating enzyme/RWD-like|Ubiquitin-conjugating enzyme E2|Ubiquitin-conjugating enzyme E2|Ubiquitin-conjugating enzyme E2|Ubiquitin-conjugating enzyme E2|Ubiquitin-conjugating enzyme E2|Ubiquitin-conjugating enzyme E2|Ubiquitin-conjugating enzyme/RWD-like	AT2G16920-ubiquitin-conjugating enzyme 23
MA_10428626g0010	sphingoid long-chain bases kinase 1-like	GO:0003951|GO:0006769|GO:0046497	NAD+ kinase activity|nicotinamide metabolic process|nicotinate nucleotide metabolic process	Molecular Function|Biological Process|Biological Process	IPR017438|noIPR|noIPR	Inorganic polyphosphate/ATP-NAD kinase, domain 1|Inorganic polyphosphate/ATP-NAD kinase, domain 1|Inorganic polyphosphate/ATP-NAD kinase, domain 1	AT5G23450-long-chain base (LCB) kinase 1
MA_10429186g0010	E3 ubiquitin- ligase RKP	GO:0046872	metal ion binding	Molecular Function	noIPR|noIPR|noIPR	null|null|null	AT2G22010-related to KPC1
MA_10429212g0010	carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1-like	GO:0004721|GO:0006470|GO:0016021	phosphoprotein phosphatase activity|protein dephosphorylation|integral component of membrane	Molecular Function|Biological Process|Cellular Component	IPR004274|IPR023214|noIPR|noIPR|IPR004274|IPR036412	FCP1 homology domain|HAD superfamily|HAD superfamily|HAD superfamily|FCP1 homology domain|HAD-like superfamily	NA
MA_10429245g0030	kinesin KIN-13A	GO:0003777|GO:0005874|GO:0007018	microtubule motor activity|microtubule|microtubule-based movement	Molecular Function|Cellular Component|Biological Process	noIPR|noIPR|noIPR|IPR027640	null|null|null|Kinesin-like protein	AT4G15885-kinesin motor protein-like protein
MA_10430025g0010	unknown	NA	NA	NA	noIPR	null	NA
MA_10430236g0010	late embryogenesis abundant type 2 dehydrin	GO:0050896	response to stimulus	Biological Process	noIPR	null	NA
MA_10430723g0010	pentatricopeptide repeat-containing mitochondrial-like	NA	NA	NA	IPR002885|noIPR|IPR002885|IPR002885|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|noIPR	Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat	NA
MA_10431563g0010	DNA excision repair ERCC-8	GO:0005515	protein binding	Molecular Function	IPR001680|IPR015943|noIPR|noIPR|IPR001680|IPR001680|IPR017986|IPR036322	WD40 repeat|WD40/YVTN repeat-like-containing domain superfamily|WD40/YVTN repeat-like-containing domain superfamily|WD40/YVTN repeat-like-containing domain superfamily|WD40 repeat|WD40 repeat|WD40-repeat-containing domain|WD40-repeat-containing domain superfamily	AT1G27840-Transducin/WD40 repeat-like superfamily protein
MA_10431792g0010	sodium pyruvate cotransporter chloroplastic	GO:0016020	membrane	Cellular Component	IPR002657|IPR004710|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR	Bile acid:sodium symporter/arsenical resistance protein  Acr3|Bile acid:sodium symporter|Bile acid:sodium symporter|Bile acid:sodium symporter|Bile acid:sodium symporter|Bile acid:sodium symporter|Bile acid:sodium symporter|Bile acid:sodium symporter|Bile acid:sodium symporter|Bile acid:sodium symporter|Bile acid:sodium symporter|Bile acid:sodium symporter|Bile acid:sodium symporter|Bile acid:sodium symporter|Bile acid:sodium symporter|Bile acid:sodium symporter	NA
MA_10432579g0010	STE20 SPS1-related proline-alanine-rich kinase isoform X2	GO:0005524	ATP binding	Molecular Function	noIPR|noIPR|noIPR|IPR017441|noIPR|noIPR|noIPR|IPR011009	null|null|null|Protein kinase, ATP binding site|Protein kinase, ATP binding site|Protein kinase, ATP binding site|Protein kinase, ATP binding site|Protein kinase-like domain superfamily	AT4G24100-Protein kinase superfamily protein
MA_10433068g0010	---NA---	NA	NA	NA	noIPR|noIPR|noIPR|noIPR	null|null|null|null	NA
MA_10433762g0010	Inner nuclear membrane Man1	GO:0005639	integral component of nuclear inner membrane	Cellular Component	IPR018996|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR	Man1-Src1p-C-terminal domain|Man1-Src1p-C-terminal domain|Man1-Src1p-C-terminal domain|Man1-Src1p-C-terminal domain|Man1-Src1p-C-terminal domain|Man1-Src1p-C-terminal domain|Man1-Src1p-C-terminal domain|Man1-Src1p-C-terminal domain|Man1-Src1p-C-terminal domain|Man1-Src1p-C-terminal domain|Man1-Src1p-C-terminal domain	AT5G46560-Man1-Src1p-carboxy-terminal domain protein
MA_10434317g0010	DNA ligase 4	GO:0003909|GO:0006260|GO:0006281|GO:0044424|GO:0097159|GO:1901363	DNA ligase activity|DNA replication|DNA repair|intracellular part|organic cyclic compound binding|heterocyclic compound binding	Molecular Function|Biological Process|Biological Process|Cellular Component|Molecular Function|Molecular Function	noIPR|IPR036420|noIPR|noIPR|IPR001357|IPR001357|IPR036420	null|BRCT domain superfamily|BRCT domain superfamily|BRCT domain superfamily|BRCT domain|BRCT domain|BRCT domain superfamily	AT5G57160-DNA ligase IV
