Sequence Name	Sequence Description	Annotation GO ID	Annotation GO Term	Annotation GO Category	InterPro Accession	InterPro Name	atg_description
MA_10020001g0010	uncharacterized WD repeat-containing alr3466-like isoform X2	GO:0005515	protein binding	Molecular Function	IPR001680|noIPR|IPR001680|IPR019775|noIPR|noIPR|noIPR|noIPR|noIPR|IPR017986|IPR036322	WD40 repeat|WD40 repeat|WD40 repeat|WD40 repeat, conserved site|WD40 repeat, conserved site|WD40 repeat, conserved site|WD40 repeat, conserved site|WD40 repeat, conserved site|WD40 repeat, conserved site|WD40-repeat-containing domain|WD40-repeat-containing domain superfamily	NA
MA_103237g0020	PREDICTED: uncharacterized protein LOC104595581	NA	NA	NA	IPR022075|noIPR|noIPR	Symplekin  C-terminal|Symplekin  C-terminal|Symplekin  C-terminal	AT1G27595-symplekin
MA_10428998g0010	nuclear transcription factor Y subunit B-like isoform X1	GO:0046982	protein heterodimerization activity	Molecular Function	noIPR|noIPR|IPR003958|noIPR|noIPR|IPR009072	null|null|Transcription factor CBF/NF-Y/archaeal histone domain|Transcription factor CBF/NF-Y/archaeal histone domain|Transcription factor CBF/NF-Y/archaeal histone domain|Histone-fold	AT4G14540-nuclear factor Y, subunit B3
MA_10430224g0010	nucleolar MIF4G domain-containing 1	GO:0003723|GO:0005515	RNA binding|protein binding	Molecular Function|Molecular Function	IPR003891|IPR003891|noIPR|IPR003890|noIPR|noIPR|noIPR|IPR003891|IPR016024	Initiation factor eIF-4 gamma, MA3|Initiation factor eIF-4 gamma, MA3|Initiation factor eIF-4 gamma, MA3|MIF4G-like, type 3|MIF4G-like, type 3|MIF4G-like, type 3|MIF4G-like, type 3|Initiation factor eIF-4 gamma, MA3|Armadillo-type fold	NA
MA_10432232g0010	mitochondrial substrate carrier family B-like	GO:0055085	transmembrane transport	Biological Process	IPR002067|IPR023395|IPR018108|noIPR|noIPR|noIPR|IPR018108|IPR018108|IPR018108|IPR023395	Mitochondrial carrier protein|Mitochondrial carrier domain superfamily|Mitochondrial substrate/solute carrier|Mitochondrial substrate/solute carrier|Mitochondrial substrate/solute carrier|Mitochondrial substrate/solute carrier|Mitochondrial substrate/solute carrier|Mitochondrial substrate/solute carrier|Mitochondrial substrate/solute carrier|Mitochondrial carrier domain superfamily	AT3G55640-Mitochondrial substrate carrier family protein
MA_10432356g0010	---NA---	NA	NA	NA	noIPR	null	NA
MA_10434374g0010	Ribosome maturation SBDS	GO:0042254	ribosome biogenesis	Biological Process	IPR018978|noIPR|IPR026939|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|noIPR|IPR036236|IPR037188	Ribosome maturation protein SBDS, C-terminal|Ribosome maturation protein SBDS, C-terminal|At2g23090-like|At2g23090-like|At2g23090-like|At2g23090-like|At2g23090-like|At2g23090-like|At2g23090-like|At2g23090-like|At2g23090-like|Zinc finger C2H2 superfamily|Ribosome maturation protein Sdo1/SBDS, central domain superfamily	AT1G43860-sequence-specific DNA binding transcription factor
MA_10435139g0010	pentatricopeptide repeat-containing mitochondrial	NA	NA	NA	noIPR|IPR002885|IPR002885|IPR002885|noIPR|noIPR|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885|IPR002885	null|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat|Pentatricopeptide repeat	AT1G73400-Pentatricopeptide repeat (PPR) superfamily protein
MA_1121588g0010	CCR4-NOT transcription complex subunit 1-like	GO:0000288|GO:0000932|GO:0017148|GO:0030015|GO:0032947	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay|P-body|negative regulation of translation|CCR4-NOT core complex|protein complex scaffold	Biological Process|Cellular Component|Biological Process|Cellular Component|Molecular Function	IPR007196|noIPR	CCR4-Not complex component, Not1, C-terminal|CCR4-Not complex component, Not1, C-terminal	AT1G02080-transcription regulator
MA_112645g0010	transcription termination factor chloroplastic	GO:0003690|GO:0006355	double-stranded DNA binding|regulation of transcription, DNA-templated	Molecular Function|Biological Process	IPR003690|IPR003690|noIPR|noIPR	Transcription termination factor, mitochondrial/chloroplastic|Transcription termination factor, mitochondrial/chloroplastic|Transcription termination factor, mitochondrial/chloroplastic|Transcription termination factor, mitochondrial/chloroplastic	AT3G18870-Mitochondrial transcription termination factor family protein
